timestamp,item_id,y
1582468900881,10842,5
1582469131822,10842,5
1582469430963,10842,5
1582469731128,10842,5
1582470031189,10842,5
1582470331492,10842,5
1582470631943,10842,5
1582470931469,10842,5
1582471231212,10842,15
1582471531236,10842,15
1582471831061,10842,15
1582472131166,10842,15
1582472431070,10842,15
1582472731016,10842,15
1582473031421,10842,15
1582473331244,10842,15
1582473631092,10842,10
1582473931355,10842,10
1582474231418,10842,15
1582474531283,10842,25
1582474831308,10842,35
1582475130892,10842,35
1582475431097,10842,35
1582475731363,10842,35
1582476031407,10842,35
1582476331151,10842,35
1582476631296,10842,45
1582476931122,10842,45
1582477231086,10842,45
1582477531350,10842,45
1582477832392,10842,45
1582478131675,10842,45
1582478494937,10842,45
1582478906722,10842,45
1582479031782,10842,45
1582479529867,10842,45
1582479631387,10842,45
1582479931429,10842,55
1582480231051,10842,55
1582480587315,10842,-2
1582480831315,10842,50
1582481326957,10842,50
1582481431079,10842,50
1582481788682,10842,50
1582482031343,10842,50
1582482331525,10842,50
1582482631548,10842,50
1582482931110,10842,50
1582483231111,10842,50
1582483531455,10842,50
1582483831137,10842,50
1582484131600,10842,50
1582484431380,10842,50
1582484790645,10842,50
1582485031685,10842,50
1582485331874,10842,50
1582485631695,10842,50
1582485931461,10842,50
1582486231821,10842,50
1582486531203,10842,50
1582486831506,10842,50
1582487131070,10842,50
1582487431131,10842,50
1582487731273,10842,50
1582488031117,10842,50
1582488331560,10842,50
1582488630981,10842,50
1582488931223,10842,50
1582489231165,10842,50
1582489531208,10842,50
1582489831389,10842,50
1582490131272,10842,50
1582490431215,10842,50
1582490731539,10842,50
1582491031280,10842,45
1582491331162,10842,45
1582545931921,10842,-1
1582546231001,10842,-1
1582546531601,10842,-1
1582546831699,10842,-1
1582547131079,10842,-1
1582547431458,10842,-1
1582547789676,10842,-1
1582548031118,10842,-1
1582548332879,10842,-1
1582548631898,10842,-1
1582548931041,10842,-1
1582549231385,10842,-1
1582549531566,10842,-1
1582549831170,10842,-1
1582550131171,10842,-1
1582550430954,10842,-1
1582550731357,10842,-1
1582551031260,10842,-1
1582551331122,10842,-1
1582551631046,10842,-1
1582551989869,10842,-2
1582552231350,10842,-2
1582552531430,10842,-2
1582552831314,10842,-2
1582553131218,10842,5
1582553431122,10842,5
1582553731542,10842,5
1582554031083,10842,5
1582554330909,10842,5
1582554631191,10842,5
1582554931014,10842,5
1582555231876,10842,5
1582555531636,10842,5
1582555831240,10842,5
1582556132278,10842,5
1582556432143,10842,5
1582556731862,10842,5
1582557031242,10842,5
1582557331791,10842,5
1582557631969,10842,5
1582557931012,10842,5
1582558231212,10842,15
1582558531173,10842,25
1582558831673,10842,35
1582559131473,10842,35
1582559431294,10842,35
1582559731332,10842,35
1582560031094,10842,35
1582560331253,10842,35
1582560631035,10842,35
1582560931275,10842,35
1582561231476,10842,45
1582561531178,10842,45
1582561830776,10842,45
1582562131058,10842,45
1582562431279,10842,45
1582562788777,10842,45
1582563030919,10842,45
1582563332375,10842,45
1582563631612,10842,45
1582563931207,10842,45
1582564231422,10842,45
1582564531358,10842,60
1582564831254,10842,60
1582565131070,10842,60
1582565431127,10842,60
1582565731401,10842,60
1582566031557,10842,50
1582566331395,10842,50
1582566631329,10842,55
1582566931345,10842,55
1582567231281,10842,55
1582567591077,10842,55
1582567831373,10842,55
1582568130947,10842,55
1582568430964,10842,55
1582568731701,10842,55
1582569031096,10842,55
1582569330894,10842,55
1582569631167,10842,55
1582569931322,10842,55
1582570231658,10842,55
1582570531334,10842,55
1582570832415,10842,35
1582571131836,10842,35
1582571431380,10842,45
1582571731341,10842,55
1582572031500,10842,55
1582572331485,10842,45
1582572631503,10842,45
1582572931566,10842,45
1582573231227,10842,45
1582573531429,10842,45
1582573831151,10842,45
1582574131225,10842,45
1582574430893,10842,45
1582574731056,10842,45
1582575030916,10842,45
1582575331517,10842,45
1582575631381,10842,45
1582575931920,10842,45
1582576232203,10842,45
1582576531323,10842,45
1582576831006,10842,45
1582577131206,10842,45
1582577431128,10842,45
1582577731944,10842,45
1582632331579,10842,-1
1582632631221,10842,-1
1582632930944,10842,-1
1582633231385,10842,-1
1582633531148,10842,-1
1582633831629,10842,-1
1582634131571,10842,-1
1582634430934,10842,-1
1582634731215,10842,5
1582635031818,10842,5
1582635331181,10842,5
1582635631305,10842,-1
1582635931045,10842,-1
1582636231089,10842,-1
1582636531349,10842,-1
1582636831432,10842,-1
1582637131345,10842,-1
1582637430935,10842,-1
1582637732069,10842,-1
1582638031669,10842,-1
1582638331254,10842,-1
1582638631255,10842,-1
1582638931495,10842,-1
1582639232017,10842,-1
1582639531001,10842,-1
1582639831462,10842,5
1582640131344,10842,5
1582640431425,10842,5
1582640731408,10842,5
1582641031230,10842,5
1582641331192,10842,5
1582641630995,10842,5
1582641931357,10842,5
1582642231279,10842,5
1582642592762,10842,5
1582642831364,10842,5
1582643131085,10842,5
1582643431009,10842,5
1582643731031,10842,15
1582644030890,10842,15
1582644386635,10842,15
1582644631474,10842,15
1582644931716,10842,15
1582645230899,10842,30
1582645587159,10842,30
1582645832001,10842,-2
1582646131523,10842,-2
1582646431286,10842,-2
1582646731164,10842,-2
1582647031428,10842,25
1582647390348,10842,15
1582647631067,10842,15
1582647931549,10842,15
1582648231291,10842,15
1582648531052,10842,15
1582648831312,10842,15
1582649131314,10842,15
1582649431496,10842,15
1582649785359,10842,35
1582650031080,10842,45
1582650331260,10842,45
1582650631441,10842,45
1582650931222,10842,45
1582651231445,10842,45
1582651590185,10842,45
1582651831167,10842,45
1582652184687,10842,45
1582652431206,10842,45
1582652732024,10842,45
1582653031683,10842,45
1582653331243,10842,45
1582653631184,10842,45
1582653930964,10842,45
1582654231464,10842,45
1582654531384,10842,45
1582654831163,10842,45
1582655302601,10842,45
1582655431543,10842,45
1582655797243,10842,45
1582656031382,10842,35
1582656388984,10842,35
1582656631022,10842,35
1582656931362,10842,35
1582657231521,10842,35
1582657532220,10842,35
1582657831482,10842,35
1582658131621,10842,60
1582658431363,10842,60
1582658789702,10842,60
1582659031200,10842,60
1582659394940,10842,60
1582659632279,10842,60
1582659991818,10842,45
1582660231457,10842,45
1582660593776,10842,45
1582660831517,10842,45
1582661131273,10842,45
1582661431272,10842,45
1582661731211,10842,45
1582662031311,10842,45
1582662395806,10842,45
1582662631326,10842,45
1582662931747,10842,45
1582663231202,10842,15
1582663531541,10842,15
1582663831221,10842,15
1582664188340,10842,15
1582718923619,10842,-1
1582719031099,10842,-1
1582719331101,10842,-1
1582719631401,10842,-1
1582719931160,10842,-1
1582720231679,10842,-1
1582720531677,10842,-1
1582720830998,10842,-1
1582721131756,10842,-1
1582721431136,10842,-1
1582721915957,10842,-1
1582722031375,10842,-1
1582722331335,10842,-1
1582722631214,10842,-1
1582723112334,10842,-1
1582723231075,10842,-1
1582723708249,10842,-1
1582723831768,10842,-1
1582724192112,10842,-1
1582724431455,10842,-1
1582724731655,10842,-1
1582725031818,10842,-1
1582725331501,10842,-1
1582725631466,10842,-1
1582725931289,10842,5
1582726231553,10842,5
1582726531379,10842,5
1582726831022,10842,5
1582727131665,10842,5
1582727432728,10842,5
1582727731353,10842,5
1582728031115,10842,5
1582728387919,10842,5
1582728631482,10842,5
1582728931427,10842,5
1582729231301,10842,5
1582729531535,10842,5
1582729831479,10842,5
1582730131201,10842,5
1582730431366,10842,5
1582730731349,10842,5
1582731031354,10842,5
1582731330998,10842,5
1582731631223,10842,5
1582731931045,10842,5
1582732231977,10842,5
1582732532517,10842,5
1582732831541,10842,5
1582733131364,10842,5
1582733431167,10842,5
1582733731610,10842,5
1582734031331,10842,5
1582734331153,10842,5
1582734631495,10842,5
1582734931740,10842,5
1582735231541,10842,5
1582735531363,10842,5
1582735831307,10842,5
1582736131191,10842,5
1582736431430,10842,5
1582736731174,10842,5
1582737031177,10842,5
1582737331181,10842,5
1582737631562,10842,5
1582737931466,10842,5
1582738230906,10842,5
1582738531529,10842,5
1582738831152,10842,5
1582739130914,10842,5
1582739431871,10842,5
1582739731609,10842,5
1582740031114,10842,5
1582740331252,10842,5
1582740631176,10842,10
1582740931637,10842,10
